City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
agadez,19.75,10.25,102.13,7,0,3.04,NE,1592843966
kolokani,13.57,-8.03,105.26,13,40,9.04,ML,1592843897
aksu,41.12,80.26,82.62,14,24,8.5,CN,1592844076
adrar,20.5,-10.07,111.81,6,0,18.92,MR,1592844138
taoudenni,22.68,-3.98,115.57,5,14,16.89,ML,1592844189
tessalit,20.2,1.01,108.3,6,1,6.96,ML,1592844204
aswan,24.09,32.91,102.24,8,0,15.14,EG,1592844226
kaeo,-35.1,173.78,60.01,3,50,8.99,NZ,1592844278
saint george,37.1,-113.58,91.99,14,1,5.82,US,1592844303
kashi,39.45,75.98,82.4,15,17,6.71,CN,1592844321
shahr-e babak,30.12,55.12,81.46,14,0,5.64,IR,1592844333
pozoblanco,38.38,-4.85,104.0,13,0,11.41,ES,1592844399
atar,20.52,-13.05,110.89,7,0,24.99,MR,1592844459
moctezuma,29.8,-109.67,91.92,10,0,7.18,MX,1592844545
show low,34.25,-110.03,82.0,12,1,4.7,US,1592844560
kidal,18.44,1.41,107.35,7,57,4.92,ML,1592844596
